Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Confidence in national government
Albania,2021,5.255481719970703,9.562287330627441,0.7018827795982361,69.1500015258789,0.8274527192115784,0.04474182799458504,0.8961266279220581,0.47292402386665344
Argentina,2021,5.908278942108154,9.955421447753906,0.8823045492172241,67.19999694824219,0.8194793462753296,-0.00881614163517952,0.8162567019462585,0.3265741169452667
Armenia,2021,5.300568580627441,9.50048542022705,0.7620441317558289,67.6500015258789,0.7951697707176208,-0.15013159811496735,0.7053338289260864,0.2971458435058594
Australia,2021,7.111598968505859,10.818342208862305,0.9197552800178528,71.05000305175781,0.9124022126197815,0.23751753568649292,0.4536760449409485,0.5192263722419739
Austria,2021,7.079640865325928,10.892091751098633,0.8629759550094604,71.1500015258789,0.7948459386825562,0.16167345643043518,0.500808596611023,0.6104589700698853
Benin,2021,4.493431091308594,8.140853881835938,0.43552419543266296,56.099998474121094,0.7240618467330933,-0.0135078439489007,0.6125470995903015,0.762415885925293
Bolivia,2021,5.568624019622803,9.007940292358398,0.7978104948997498,63.599998474121094,0.861731231212616,-0.054499056190252304,0.8121744394302368,0.3858755826950073
Bosnia and Herzegovina,2021,5.748823165893555,9.62762451171875,0.8599535822868347,67.30000305175781,0.7589792013168335,0.281281054019928,0.9209139347076416,0.225852832198143
Brazil,2021,6.009953498840332,9.59318733215332,0.814328670501709,65.75,0.7915077209472656,0.09077144414186478,0.7385714054107666,0.3270992934703827
Bulgaria,2021,5.421693325042725,10.054125785827637,0.8836210370063782,66.5,0.8411880731582642,-0.010516754351556301,0.8912484645843506,0.22452619671821594
Burkina Faso,2021,4.6355085372924805,7.713550567626953,0.6575435996055603,55.650001525878906,0.644101619720459,0.06747226417064667,0.7361589074134827,0.6208515763282776
Cameroon,2021,4.962747573852539,8.215063095092773,0.6949363946914673,55.849998474121094,0.7153017520904541,-0.02398267202079296,0.8487171530723572,0.5632084608078003
Canada,2021,6.9394354820251465,10.770748138427734,0.9260764122009277,71.4000015258789,0.89822918176651,0.19324088096618652,0.38399049639701843,0.6104111671447754
Chile,2021,6.435630798339844,10.162443161010742,0.8914605379104614,70.30000305175781,0.803415060043335,-0.049180857837200165,0.8585527539253235,0.2321448028087616
Colombia,2021,5.289958477020264,9.587848663330078,0.7928306460380554,69.3499984741211,0.7746684551239014,-0.060748759657144547,0.8313309550285339,0.28914889693260193
Congo (Brazzaville),2021,4.920531272888184,8.10317325592041,0.567651093006134,56.849998474121094,0.7376614809036255,-0.01899065636098385,0.7327299118041992,0.5221221446990967
Costa Rica,2021,6.408448219299316,9.938294410705566,0.8760523200035095,70.0,0.8866522312164307,-0.02306654304265976,0.781826913356781,0.3153083324432373
Croatia,2021,6.286790370941162,10.30044937133789,0.9177415370941162,68.94999694824219,0.8418378829956055,0.009498014114797115,0.9336503744125366,0.25128793716430664
Czechia,2021,6.9424967765808105,10.581283569335938,0.9502267837524414,69.05000305175781,0.8905214667320251,0.1633039265871048,0.8625741004943848,0.2844754159450531
Denmark,2021,7.698747158050537,10.972979545593262,0.9449267387390137,71.25,0.9334392547607422,0.13281600177288055,0.17268094420433044,0.6517097353935242
Dominican Republic,2021,6.030537128448486,9.834504127502441,0.8571069836616516,64.4000015258789,0.8593583106994629,-0.08448360115289688,0.6774082183837891,0.5749580264091492
Ecuador,2021,5.434872150421143,9.265952110290527,0.7855318784713745,69.0,0.8210253715515137,-0.08046265691518784,0.7745082974433899,0.4124932587146759
Egypt,2021,4.025747776031494,9.402128219604492,0.7170223593711853,63.5,0.70444256067276,-0.2277926206588745,0.5804541707038879,0.7640445232391357
El Salvador,2021,6.4314470291137695,9.05728816986084,0.796106219291687,65.5999984741211,0.9149038791656494,-0.07525785267353058,0.6632885932922363,0.7023811340332031
Estonia,2021,6.553915500640869,10.558389663696289,0.9458650350570679,69.6500015258789,0.9258183240890503,0.04955780506134033,0.44142577052116394,0.5192639827728271
Finland,2021,7.79437780380249,10.79455280303955,0.9702892899513245,71.1500015258789,0.9631898403167725,-0.035728443413972855,0.19175365567207336,0.7137312293052673
France,2021,6.6562066078186035,10.71656608581543,0.9145975112915039,72.30000305175781,0.8369176983833313,-0.10071982443332672,0.5608129501342773,0.43352049589157104
Gabon,2021,5.075422286987305,9.559962272644043,0.7538716197013855,58.25,0.6990566849708557,-0.204959437251091,0.765906810760498,0.4483311176300049
Georgia,2021,4.91127347946167,9.648091316223145,0.6706894636154175,64.94999694824219,0.7770613431930542,-0.2855309545993805,0.7234069108963013,0.4430205225944519
Germany,2021,6.754523754119873,10.873412132263184,0.8675825595855713,71.30000305175781,0.778439998626709,0.07768628001213074,0.4175819158554077,0.604759931564331
Ghana,2021,4.377950668334961,8.62186336517334,0.6327296495437622,58.75,0.7302647233009338,0.10845786333084106,0.8877704739570618,0.5210734009742737
Greece,2021,6.104214191436768,10.269838333129883,0.8503261804580688,71.1500015258789,0.574029803276062,-0.15517759323120117,0.7518168687820435,0.40173640847206116
Honduras,2021,6.113636016845703,8.574769020080566,0.8059808611869812,63.849998474121094,0.8350457549095154,0.11913365125656128,0.8472254276275635,0.22649654746055603
Hungary,2021,6.226647853851318,10.413866996765137,0.9478921294212341,67.5,0.7274899482727051,-0.04173632711172104,0.8315553665161133,0.4165661334991455
Iceland,2021,7.564624786376953,10.899747848510742,0.9798582196235657,72.05000305175781,0.9232433438301086,0.2588545083999634,0.664465606212616,0.6338867545127869
